StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ranking1_1,ranking1_2,ranking1_3,ranking1_4,ranking1_5,ranking1_6,ranking2_1,ranking2_2,ranking2_3,ranking2_4,ranking3_1,ranking3_2,ranking3_3,DROPT_RankProcess,DROPT_TaskMetadata,DROPT_TaskCount,DROPT_Submitted
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 1","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 2","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 3","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 4","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 5","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 6","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 1","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 2","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 3","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 4","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 1","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 2","This is the rank-order question with some mock items. If any of the rank-order items are dragged and dropped (and, importantly, change position!), this will be recorded in the embedded data fields. Once you download the data, all DROPT data will be downloaded as well. - Item 3",DROPT_RankProcess,DROPT_TaskMetadata,DROPT_TaskCount,DROPT_Submitted
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""DROPT_RankProcess""}","{""ImportId"":""DROPT_TaskMetadata""}","{""ImportId"":""DROPT_TaskCount""}","{""ImportId"":""DROPT_Submitted""}"
2026-06-21 19:34:55,2026-06-21 19:35:07,1,100,11,1,2026-06-21 19:35:07,R_7e26lZvG2Ezrstn,preview,EN,4,2,5,3,1,6,3,1,4,2,,,,"{DROPT1|0|NA|4,3,5,1,2,6} {DROPT1|595,944|3|4,5,1,3,2,6} {DROPT1|1256,1586|2|4,5,2,1,3,6} {DROPT1|2023,2313|4|5,2,4,1,3,6} {DROPT2|0|NA|4,2,1,3} {DROPT2|342,625|2|2,4,1,3}","{DROPT1|QID5|4,3,5,1,2,6} {DROPT2|QID6|4,2,1,3}",2,1
2026-06-21 19:35:10,2026-06-21 19:35:24,1,100,14,1,2026-06-21 19:35:25,R_73MSNvqaNmRJsQx,preview,EN,3,1,4,2,5,6,2,1,4,3,,,,"{DROPT1|0|NA|6,1,5,4,3,2} {DROPT1|492,816|6|1,5,4,6,3,2} {DROPT1|1593,1933|3|3,1,5,4,6,2} {DROPT1|2425,2664|5|3,1,4,5,6,2} {DROPT1|3162,3444|2|3,2,1,4,5,6} {DROPT1|4133,4620|4|3,4,2,1,5,6} {DROPT1|5164,5535|2|3,2,4,1,5,6} {DROPT1|5987,6327|3|2,3,4,1,5,6} {DROPT1|6882,7297|3|2,4,1,3,5,6} {DROPT2|0|NA|2,4,1,3} {DROPT2|326,602|1|2,1,4,3}","{DROPT1|QID5|6,1,5,4,3,2} {DROPT2|QID6|2,4,1,3}",2,1
2026-06-21 19:35:28,2026-06-21 19:35:37,1,100,9,1,2026-06-21 19:35:37,R_7AHHNqbSn75kFU4,preview,EN,4,3,5,1,2,6,3,4,1,2,,,,"{DROPT1|0|NA|1,5,2,4,3,6} {DROPT1|525,835|1|5,2,4,3,1,6} {DROPT1|1253,1526|1|5,2,4,1,3,6} {DROPT1|1972,2319|4|4,5,2,1,3,6} {DROPT2|0|NA|2,4,3,1} {DROPT2|446,736|3|3,2,4,1} {DROPT2|1362,1651|2|3,4,1,2}","{DROPT1|QID5|1,5,2,4,3,6} {DROPT2|QID6|2,4,3,1}",2,1
2026-06-21 19:35:40,2026-06-21 19:35:49,1,100,9,1,2026-06-21 19:35:50,R_7H1BtXcWoYRvd2D,preview,EN,4,6,2,1,3,5,4,3,1,2,,,,"{DROPT1|0|NA|4,3,2,1,5,6} {DROPT1|442,777|2|4,3,1,5,6,2} {DROPT1|1272,1539|5|5,4,3,1,6,2} {DROPT1|1981,2371|5|4,3,5,1,6,2} {DROPT2|0|NA|4,2,3,1} {DROPT2|350,619|3|3,4,2,1}","{DROPT1|QID5|4,3,2,1,5,6} {DROPT2|QID6|4,2,3,1}",2,1
2026-06-21 19:35:52,2026-06-21 19:36:03,1,100,10,1,2026-06-21 19:36:03,R_7QMGnf02vw9KkKO,preview,EN,1,4,3,5,2,6,3,1,4,2,,,,"{DROPT1|0|NA|5,1,2,4,6,3} {DROPT1|443,720|5|1,5,2,4,6,3} {DROPT1|1500,1954|3|1,5,3,2,4,6} {DROPT2|0|NA|4,2,1,3} {DROPT2|330,593|2|2,4,1,3}","{DROPT1|QID5|5,1,2,4,6,3} {DROPT2|QID6|4,2,1,3}",2,1
2026-06-21 19:36:04,2026-06-21 19:36:13,1,100,8,1,2026-06-21 19:36:14,R_76gKn01sx6skFPq,preview,EN,1,4,3,2,6,5,1,3,2,4,,,,"{DROPT1|0|NA|6,4,3,2,1,5} {DROPT1|462,792|6|4,3,2,1,6,5} {DROPT1|1488,1740|1|1,4,3,2,6,5} {DROPT2|0|NA|3,1,2,4} {DROPT2|339,791|1|1,3,2,4}","{DROPT1|QID5|6,4,3,2,1,5} {DROPT2|QID6|3,1,2,4}",2,1
2026-06-21 19:53:44,2026-06-21 19:53:58,1,100,13,1,2026-06-21 19:53:58,R_7Pc4KWu59ykEmTX,preview,EN,3,1,2,5,4,6,1,4,3,2,1,3,2,"{DROPT1|0|NA|2,1,3,5,4,6} {DROPT1|872,1496|3|2,3,1,5,4,6} {DROPT2|0|NA|1,4,2,3} {DROPT2|666,1095|2|1,4,3,2} {DROPT3|0|NA|3,1,2} {DROPT3|1174,1641|3|1,2,3} {DROPT3|2483,2911|2|1,3,2}","{DROPT1|QID5|2,1,3,5,4,6} {DROPT2|QID6|1,4,2,3} {DROPT3|QID7|3,1,2}",3,1
2026-06-23 05:24:40,2026-06-23 05:25:04,1,100,23,1,2026-06-23 05:25:04,R_7KVVvE8sideKHHH,preview,EN,4,2,6,3,5,1,4,2,1,3,3,2,1,"{DROPT1|0|NA|5,6,4,1,3,2} {DROPT1|1425,2163|5|6,4,1,5,3,2} {DROPT1|3558,4101|2|6,2,4,1,5,3} {DROPT2|0|NA|3,1,2,4} {DROPT2|614,797|3|1,2,4,3} {DROPT2|1200,1382|2|2,1,4,3} {DROPT2|1835,2052|1|2,4,1,3} {DROPT2|2666,2960|3|3,2,4,1} {DROPT3|0|NA|1,3,2} {DROPT3|512,703|1|3,2,1}","{DROPT1|QID5|5,6,4,1,3,2} {DROPT2|QID6|3,1,2,4} {DROPT3|QID7|1,3,2}",3,1
